IDMachines,PeopleAtwork,StreetLights,Accidents,DamagedMovers,StRoadLength,RoadCurvature,HPBends,RoadType,RoadWidth,AvgSpeed,AgeOfRoad,RoadSurface
6,13,676,26,4,3037,123.91,24,1,60,0.62,8,Avg
5,12,775,21,4,4532,78.89,25,1,47,0.54,8,Avg
7,20,1079,3,8,5916,53.43,4,0,75,0.11,0,Good
1,9,566,42,2,1410,219.77,36,2,26,2.65,15,Poor
6,13,674,28,5,2716,98.15,29,1,58,0.58,7,Avg
1,9,527,49,3,1768,241.79,34,2,23,2.97,14,Poor
4,12,771,36,5,3161,114.72,28,1,53,1.06,11,Avg
1,8,532,45,1,1234,242.85,46,2,21,3.91,15,Poor
4,13,737,28,4,4914,94.7,15,1,57,1.08,7,Avg
1,9,423,43,2,1902,183.9,44,2,30,3.47,15,Poor
5,12,642,20,6,3401,126.08,23,1,55,1.29,9,Avg
3,10,506,49,3,1745,163.97,47,2,37,3.94,13,Poor
6,11,746,21,5,4041,100.27,21,1,60,1.43,8,Avg
8,20,991,10,8,8277,41.24,11,0,86,0.15,7,Good
7,17,847,15,8,7944,43.36,8,0,84,0.37,0,Good
1,7,479,49,3,1541,187.62,33,2,22,2.72,11,Poor
8,19,948,1,8,8267,21.73,3,0,86,0.31,1,Good
4,13,627,32,5,4020,119.52,18,1,59,1.13,8,Avg
3,10,509,46,3,1860,178.03,38,2,23,2.76,15,Poor
5,13,601,33,4,3150,83.77,21,1,56,1.24,8,Avg
9,19,950,13,10,8921,65.53,14,0,79,0.15,0,Good
6,11,638,27,5,4809,79.18,18,1,58,0.54,9,Avg
5,14,795,32,4,4246,107.21,24,1,48,1.25,9,Avg
1,8,570,47,1,1802,223.5,35,2,24,3.39,14,Poor
3,10,508,42,1,1769,163.13,36,2,26,3.68,15,Poor
8,19,856,7,8,8899,33.82,14,0,84,0.26,4,Good
4,12,711,21,6,4925,85.65,25,1,41,0.53,9,Avg
6,11,629,22,5,4355,114.88,18,1,44,0.92,6,Avg
8,18,1026,10,9,8795,75.86,12,0,87,0.18,4,Good
10,19,991,4,9,6612,74.53,6,0,96,0.18,4,Good
2,9,433,48,2,1797,203.37,37,2,35,3.03,15,Poor
3,8,562,50,2,1934,178.21,39,2,30,3.56,11,Poor
3,10,533,49,3,1162,165.97,31,2,24,2.88,15,Poor
6,13,748,33,6,4767,126.71,22,1,46,1.02,10,Avg
10,18,819,14,9,5085,62.16,5,0,88,0.22,2,Good
3,9,460,49,2,1044,237.63,32,2,38,2.96,13,Poor
8,16,849,10,7,5315,44.7,6,0,97,0.25,0,Good
5,15,616,26,4,3273,110.86,15,1,52,0.61,7,Avg
1,8,430,47,2,1335,157.63,42,2,22,2.5,12,Poor
7,20,945,9,8,5398,63.02,3,0,77,0.26,3,Good
10,19,815,7,10,8098,10.41,5,0,100,0.33,4,Good
4,14,781,23,4,3267,95.19,19,1,44,1.21,6,Avg
1,10,481,48,3,1033,168.48,30,2,27,3.12,14,Poor
5,11,756,31,5,4875,136.4,15,1,47,1.06,8,Avg
8,16,937,19,10,8060,31.89,0,0,68,0.1,3,Good
5,14,633,30,6,4500,93.82,20,1,60,1.04,10,Avg
2,9,427,41,2,1738,171.34,45,2,26,3.35,13,Poor
2,8,536,45,1,1726,209.48,33,2,30,3.72,15,Poor
7,16,831,18,10,8491,29.1,4,0,65,0.48,0,Good
2,7,573,41,3,1942,194.94,48,2,34,3.8,12,Poor
6,12,689,36,4,4137,112.41,16,1,45,1.3,7,Avg
4,15,637,37,6,3444,93.69,19,1,53,0.54,11,Avg
8,17,908,14,10,8326,21.12,9,0,89,0.34,1,Good
5,11,656,33,5,4870,137.82,28,1,46,1.15,10,Avg
1,9,534,48,3,1012,243.72,45,2,32,2.93,14,Poor
3,9,408,47,2,1982,232.12,39,2,32,3.84,15,Poor
9,18,932,18,9,5125,52.29,10,0,96,0.31,3,Good
3,10,553,44,2,1185,191.52,39,2,23,3.29,13,Poor
2,10,508,49,1,1625,230.95,35,2,27,2.76,15,Poor
7,16,1049,17,10,6657,85.75,0,0,71,0.25,0,Good
5,12,678,23,6,4037,122.08,22,1,60,1.2,10,Avg
6,12,734,31,4,3021,86.92,19,1,56,1.13,8,Avg
2,9,419,48,3,1153,160.78,35,2,25,3.38,15,Poor
3,8,593,46,2,1830,167.64,33,2,32,3.54,14,Poor
7,17,961,3,7,7783,7.11,3,0,63,0.17,5,Good
3,7,513,40,3,1387,196.8,49,2,25,3.38,14,Poor
6,14,655,23,5,2173,110.48,26,1,42,0.79,9,Avg
1,9,509,50,2,1279,198.23,37,2,33,3.15,15,Poor
10,19,965,8,8,7263,81.01,12,0,65,0.27,4,Good
8,19,939,6,8,8707,68.6,0,0,71,0.26,1,Good
4,13,635,39,6,4488,145.29,22,1,41,1.41,11,Avg
3,8,509,50,2,1175,210.19,31,2,21,2.82,12,Poor
5,12,799,36,5,2826,76.72,20,1,48,0.54,8,Avg
8,18,829,4,9,5607,63.35,5,0,71,0.19,3,Good
9,20,949,6,9,5091,89.46,14,0,82,0.13,0,Good
8,16,802,10,10,6686,32.57,2,0,81,0.37,0,Good
3,9,474,42,1,1720,238.08,50,2,33,3.63,15,Poor
5,14,764,31,5,3835,83.7,29,1,42,0.95,8,Avg
6,13,701,20,5,4750,130.77,24,1,45,1.21,8,Avg
8,16,952,15,10,5525,46.09,9,0,80,0.29,1,Good
1,9,554,41,1,1225,172.02,45,2,25,3.61,12,Poor
4,11,675,25,4,3661,125.83,15,1,48,0.95,8,Avg
7,17,875,16,7,6241,30.53,6,0,84,0.42,0,Good
10,20,974,19,8,5486,31.13,4,0,75,0.14,3,Good
3,8,551,42,3,1055,219.2,36,2,34,2.83,14,Poor
8,20,881,5,8,7581,36.53,14,0,95,0.11,7,Good
4,13,654,30,4,3544,143.66,27,1,51,1.4,10,Avg
1,8,470,48,2,1907,197.83,41,2,37,3.34,11,Poor
1,10,493,42,2,1728,237.62,43,2,39,2.6,14,Poor
1,7,537,50,1,1790,173.27,32,2,24,2.92,11,Poor
2,8,449,45,3,1076,154.21,30,2,26,3.7,12,Poor
1,8,486,46,3,1488,243.67,48,2,24,2.71,15,Poor
6,13,763,27,5,4142,86.29,28,1,43,1.16,10,Avg
5,13,713,34,6,3354,135.23,29,1,50,0.98,7,Avg
9,16,1003,12,7,7468,75.35,3,0,78,0.45,1,Good
3,9,499,48,2,1992,223.04,45,2,25,3.84,14,Poor
5,14,665,37,4,4163,126.73,23,1,55,0.73,8,Avg
1,7,410,44,3,1877,159.36,40,2,34,3.29,14,Poor
5,15,693,31,5,3654,125.16,18,1,41,0.8,8,Avg
2,9,507,47,2,1289,212.07,34,2,40,3.58,13,Poor
10,16,956,7,8,7776,63.52,3,0,83,0.14,7,Good
6,14,617,33,5,2624,121.09,19,1,54,1.14,8,Avg
6,14,608,27,4,3777,87.26,16,1,46,1.37,9,Avg
1,8,575,46,2,1706,175.28,32,2,31,3.34,13,Poor
1,7,556,48,2,1298,194.97,45,2,30,3.09,15,Poor
5,12,658,23,6,2240,96.68,17,1,47,0.76,11,Avg
1,7,596,42,1,1534,196.9,41,2,30,2.99,15,Poor
5,14,672,39,4,3510,120.26,17,1,41,0.69,10,Avg
4,12,668,34,5,2357,117.45,27,1,55,1.26,11,Avg
4,12,650,23,4,4013,120.1,20,1,51,1.06,8,Avg
5,12,678,34,5,2935,146.48,15,1,45,0.56,8,Avg
4,15,779,24,5,3942,79.97,20,1,56,1.08,10,Avg
4,12,672,39,5,2386,100.69,21,1,53,0.91,10,Avg
9,20,887,3,10,7332,28.07,1,0,94,0.15,3,Good
6,12,694,36,4,4599,78.42,21,1,42,0.72,11,Avg
9,16,1044,0,8,8050,47.92,11,0,83,0.42,7,Good
8,18,986,13,7,7891,47.27,8,0,98,0.17,0,Good
5,11,661,38,6,2013,110.69,21,1,47,1.08,8,Avg
10,19,837,18,7,7051,50.65,12,0,76,0.33,3,Good
2,10,473,43,1,1271,201.29,39,2,24,3.3,15,Poor
9,17,1064,2,9,6018,84.01,1,0,71,0.26,0,Good
5,12,677,35,4,3500,110.07,29,1,57,1.38,9,Avg
10,19,919,4,10,7792,60.3,5,0,89,0.27,2,Good
6,14,671,38,4,4267,77.83,28,1,50,1.01,10,Avg
3,9,422,42,3,1026,208.55,37,2,34,2.91,13,Poor
1,9,434,45,1,1952,214.22,34,2,35,3.86,12,Poor
5,12,663,26,4,2783,126.9,27,1,41,0.62,7,Avg
6,14,745,25,4,2062,87.58,26,1,52,1.17,6,Avg
8,19,837,7,7,8696,83.89,12,0,90,0.23,2,Good
3,9,578,40,3,1177,186.57,50,2,38,3.81,12,Poor
8,17,802,1,7,8618,62.45,11,0,97,0.32,0,Good
9,17,1043,10,10,7127,48.44,11,0,71,0.25,3,Good
6,12,671,26,6,3760,99.93,27,1,53,1.06,8,Avg
1,8,420,48,3,1956,243.06,45,2,32,3.91,15,Poor
8,19,1050,7,9,8564,63.58,1,0,67,0.22,2,Good
3,7,438,50,2,1052,232.25,37,2,36,3.95,12,Poor
4,12,779,39,5,3856,79.51,15,1,57,1.13,9,Avg
7,20,963,14,8,7141,21.39,1,0,99,0.14,3,Good
1,9,405,48,3,1313,163.66,32,2,22,2.86,14,Poor
1,7,515,40,2,1195,187.92,49,2,31,2.58,15,Poor
6,15,636,25,5,2897,93.75,28,1,55,1.25,8,Avg
10,18,1002,6,10,5141,89.0,7,0,83,0.4,3,Good
3,10,438,47,2,1769,236.61,37,2,35,3.88,15,Poor
4,14,733,37,5,3090,105.89,19,1,53,0.56,9,Avg
4,11,754,28,6,2689,118.79,28,1,41,0.91,7,Avg
7,16,1020,9,9,6515,30.92,2,0,93,0.0,7,Good
2,8,564,42,3,1672,224.41,41,2,22,3.56,10,Poor
7,17,837,15,7,5169,76.16,11,0,65,0.13,7,Good
2,9,575,42,3,1439,173.68,35,2,23,3.18,15,Poor
9,18,901,0,9,5663,48.75,13,0,80,0.15,1,Good
1,7,503,44,2,1676,185.95,30,2,36,3.01,11,Poor
4,12,783,36,5,4923,99.31,16,1,49,1.25,9,Avg
3,7,526,46,2,1356,195.11,41,2,25,2.9,12,Poor
10,18,992,7,9,8572,3.82,5,0,96,0.28,2,Good
1,10,442,47,3,1300,168.34,50,2,30,3.16,10,Poor
10,19,854,15,7,6302,70.71,2,0,88,0.4,4,Good
7,20,922,8,8,6741,14.1,4,0,95,0.37,1,Good
1,10,552,42,3,1788,244.34,40,2,33,2.75,15,Poor
3,7,417,46,1,1616,219.34,33,2,30,3.06,13,Poor
10,19,1066,1,9,7665,69.86,7,0,70,0.13,0,Good
6,15,798,28,6,2821,138.26,19,1,41,1.01,8,Avg
8,18,900,19,9,8093,28.33,0,0,73,0.48,5,Good
3,8,411,42,2,1744,189.17,34,2,31,2.97,14,Poor
10,19,984,13,7,8432,59.1,13,0,71,0.19,1,Good
1,9,531,47,3,1838,241.48,41,2,25,3.59,14,Poor
1,10,548,45,2,1937,200.91,35,2,25,3.52,13,Poor
6,12,709,32,6,2842,92.36,19,1,52,0.68,7,Avg
6,15,784,32,4,4177,117.48,28,1,44,1.24,8,Avg
4,11,628,30,6,3329,133.64,17,1,58,0.83,7,Avg
7,17,1012,0,9,7384,70.25,2,0,89,0.26,6,Good
5,14,652,21,6,4651,129.24,23,1,54,0.89,8,Avg
10,16,905,9,9,7673,29.89,0,0,96,0.17,2,Good
8,20,854,9,8,8387,34.62,13,0,89,0.43,3,Good
5,14,650,32,5,2437,133.35,25,1,42,1.09,10,Avg
6,12,690,29,5,2580,100.4,22,1,42,0.64,8,Avg
1,9,439,48,2,1403,217.24,34,2,33,3.3,12,Poor
10,17,1100,9,10,8889,68.32,9,0,65,0.47,0,Good
10,16,1047,13,8,5763,49.42,13,0,88,0.38,1,Good
10,20,1040,13,8,6139,79.36,12,0,93,0.15,6,Good
3,10,474,49,3,1771,210.18,47,2,35,2.55,12,Poor
1,10,428,46,3,1863,157.63,39,2,25,3.94,12,Poor
8,18,914,8,10,7788,35.74,14,0,88,0.2,3,Good
8,17,1042,11,10,6362,76.9,2,0,84,0.13,2,Good
3,8,590,49,3,1833,159.6,43,2,23,3.38,15,Poor
6,14,732,29,4,3448,98.27,18,1,48,0.58,9,Avg
9,16,1030,1,9,7157,44.27,4,0,63,0.11,1,Good
7,18,1059,3,9,7118,4.89,12,0,68,0.16,2,Good
5,15,671,24,6,2967,124.78,20,1,53,0.87,8,Avg
5,12,756,21,4,3314,104.02,19,1,48,0.83,7,Avg
4,15,628,34,4,4019,75.51,21,1,50,0.96,8,Avg
3,7,547,43,1,1719,224.53,34,2,30,3.67,15,Poor
4,13,662,34,6,2425,115.7,17,1,56,0.54,6,Avg
8,19,952,8,8,5790,42.39,2,0,85,0.31,2,Good
1,9,417,45,2,1325,216.4,44,2,38,3.13,13,Poor
4,13,771,33,6,2970,120.74,22,1,57,1.21,10,Avg
3,10,513,48,2,1256,239.42,50,2,39,3.1,13,Poor
8,17,971,18,9,7612,34.22,9,0,86,0.17,4,Good
2,7,569,40,1,1739,245.99,32,2,39,3.62,14,Poor
5,12,644,25,4,4928,105.88,27,1,42,0.56,8,Avg
2,10,476,41,3,1665,220.05,33,2,38,3.21,15,Poor
7,20,949,5,7,8689,0.38,11,0,93,0.0,3,Good
9,20,1084,13,10,6224,74.16,3,0,96,0.15,1,Good
5,15,699,21,6,4574,115.94,17,1,49,0.76,10,Avg
2,9,515,49,1,1025,215.14,38,2,27,2.69,13,Poor
5,13,652,32,5,3191,116.72,19,1,51,0.78,10,Avg
2,10,467,46,1,1837,182.9,31,2,35,3.1,12,Poor
1,8,505,43,2,1414,173.67,36,2,22,3.62,15,Poor
4,14,652,27,5,4081,97.97,21,1,50,0.99,9,Avg
6,14,675,36,5,3091,148.95,20,1,51,1.3,8,Avg
4,12,720,22,6,3386,120.22,20,1,51,0.6,9,Avg
6,15,794,24,6,4799,102.02,27,1,43,1.42,8,Avg
5,15,673,38,5,2036,86.02,23,1,59,0.75,6,Avg
3,8,454,41,1,1853,175.3,31,2,27,3.84,15,Poor
3,9,433,47,2,1908,239.52,30,2,38,3.57,15,Poor
8,20,890,0,7,6233,75.62,13,0,62,0.36,2,Good
1,7,569,49,2,1222,239.56,39,2,35,3.34,13,Poor
4,13,746,34,6,2484,146.55,19,1,53,0.88,7,Avg
9,19,1043,8,8,6428,54.3,11,0,68,0.18,7,Good
5,14,634,36,5,3525,104.69,15,1,54,0.62,11,Avg
4,13,638,24,6,3322,140.59,28,1,47,1.47,11,Avg
9,17,943,7,8,5724,92.25,1,0,73,0.21,1,Good
3,9,562,49,3,1182,161.85,47,2,21,3.67,15,Poor
7,20,835,9,8,6319,7.49,9,0,90,0.44,2,Good
8,18,1048,9,10,5937,42.34,1,0,95,0.47,0,Good
3,10,528,49,1,1917,233.97,37,2,23,2.9,11,Poor
5,11,746,38,5,4498,140.55,19,1,43,0.67,8,Avg
5,12,699,28,4,4591,100.57,22,1,48,0.63,8,Avg
9,16,944,17,8,5817,7.87,1,0,75,0.26,1,Good
5,13,613,29,4,4078,104.73,16,1,54,1.27,7,Avg
2,8,503,50,1,1126,195.0,44,2,39,3.08,14,Poor
7,17,936,8,10,6090,25.92,12,0,69,0.16,2,Good
3,9,444,46,3,1686,184.06,38,2,21,2.67,15,Poor
9,17,1092,11,9,8908,59.89,9,0,89,0.41,3,Good
4,14,789,26,4,2249,99.72,23,1,45,0.65,8,Avg
1,7,497,44,1,1093,189.83,35,2,22,3.23,14,Poor
3,8,506,41,3,1591,187.44,42,2,32,3.05,15,Poor
1,8,592,44,3,1244,193.8,35,2,22,2.55,11,Poor
3,8,421,42,3,1622,151.59,41,2,23,3.64,12,Poor
3,10,470,45,2,1560,175.33,44,2,32,3.45,15,Poor
5,14,756,31,5,4843,78.44,21,1,50,1.17,8,Avg
10,20,846,15,9,7466,47.49,10,0,62,0.17,7,Good
3,7,565,47,1,1760,226.29,32,2,28,3.53,14,Poor
8,16,1073,18,9,5616,17.84,9,0,78,0.33,3,Good
6,12,605,23,5,2399,112.98,28,1,45,0.9,8,Avg
10,18,968,9,10,6284,39.99,3,0,83,0.37,7,Good
4,12,733,37,4,2685,124.98,20,1,41,0.73,7,Avg
6,13,693,22,5,3242,138.6,18,1,44,0.93,10,Avg
7,16,869,2,8,5135,52.32,13,0,70,0.11,4,Good
10,17,856,2,8,5083,41.79,8,0,81,0.44,0,Good
3,10,526,49,3,1862,221.62,41,2,40,2.83,15,Poor
10,20,876,4,10,7719,69.25,1,0,76,0.11,3,Good
1,10,539,50,1,1214,195.7,30,2,21,3.09,15,Poor
1,9,429,49,1,1290,214.61,34,2,35,3.66,13,Poor
9,19,898,15,8,5186,71.84,9,0,75,0.36,4,Good
1,10,445,41,2,1281,208.92,38,2,39,2.71,15,Poor
2,7,424,50,1,1614,188.83,31,2,25,3.23,13,Poor
4,12,788,22,4,4795,134.62,24,1,52,1.3,11,Avg
2,7,487,41,1,1212,182.76,36,2,37,2.72,11,Poor
1,10,447,43,1,1438,198.95,40,2,22,3.51,10,Poor
4,11,713,25,5,3039,89.06,24,1,43,1.22,7,Avg
9,16,887,10,7,7603,47.53,2,0,80,0.45,0,Good
9,17,881,12,10,5077,9.59,5,0,88,0.14,1,Good
1,8,560,45,2,1325,183.58,33,2,30,3.72,11,Poor
4,11,676,22,5,4915,82.43,25,1,50,0.69,9,Avg
5,11,707,39,6,2449,136.97,22,1,57,0.56,8,Avg
3,8,469,50,2,1828,218.24,42,2,29,2.96,13,Poor
1,7,597,49,1,1762,237.82,39,2,37,3.04,13,Poor
7,16,852,1,9,6745,13.46,6,0,73,0.15,2,Good
9,20,1088,3,10,5298,91.85,8,0,78,0.13,2,Good
1,8,573,48,3,1205,174.28,36,2,28,2.94,14,Poor
5,13,625,24,5,3500,75.44,22,1,43,0.95,10,Avg
3,10,513,40,1,1845,222.65,35,2,35,3.69,13,Poor
5,11,655,28,6,2074,137.56,29,1,52,0.53,10,Avg
2,9,429,43,2,1106,239.92,37,2,26,3.13,15,Poor
2,10,420,42,1,1943,245.59,47,2,33,2.75,15,Poor
7,17,960,7,7,7891,1.81,4,0,75,0.41,2,Good
7,20,997,7,10,7998,80.35,10,0,93,0.48,0,Good
10,16,990,19,8,6081,64.58,11,0,62,0.42,0,Good
9,20,1029,13,8,7405,58.75,9,0,80,0.27,1,Good
3,8,504,46,1,1841,173.68,47,2,23,2.87,14,Poor
7,18,947,0,10,7508,72.87,4,0,73,0.28,4,Good
9,17,841,9,9,8605,79.65,0,0,61,0.24,4,Good
9,16,993,9,8,7398,68.41,9,0,70,0.12,2,Good
2,9,541,46,2,1352,206.72,33,2,25,3.72,11,Poor
9,19,917,14,7,7503,66.08,6,0,77,0.16,1,Good
10,19,1025,14,8,8614,34.15,5,0,83,0.14,0,Good
6,15,781,39,6,4505,80.94,23,1,53,0.79,11,Avg
6,11,617,31,6,3912,86.07,21,1,58,0.71,8,Avg
5,14,686,30,4,2866,129.81,28,1,57,0.96,8,Avg
10,19,1066,5,7,5345,83.78,2,0,66,0.43,0,Good
6,12,691,22,5,3142,101.54,27,1,53,1.03,7,Avg
1,10,442,45,1,1414,219.84,45,2,34,3.86,15,Poor
1,9,469,41,3,1919,249.12,43,2,39,3.93,14,Poor
10,16,923,19,9,7807,75.68,13,0,87,0.35,4,Good
7,19,909,3,8,5385,66.91,11,0,77,0.11,7,Good
2,7,401,46,2,1144,237.61,36,2,23,2.93,13,Poor
9,19,980,1,10,7592,41.61,8,0,72,0.14,2,Good
6,13,692,29,6,2877,129.84,16,1,53,0.64,6,Avg
2,7,454,40,3,1582,229.71,35,2,28,2.74,15,Poor
8,16,1051,1,7,6211,31.51,9,0,66,0.16,3,Good
8,20,943,5,9,6574,60.37,8,0,91,0.21,2,Good
4,11,620,31,4,4162,76.59,28,1,43,0.78,8,Avg
8,17,846,2,9,7716,26.38,12,0,77,0.48,0,Good
5,12,736,39,5,2358,132.6,22,1,54,1.35,11,Avg
3,9,599,49,1,1631,177.44,35,2,23,2.95,10,Poor
6,14,640,36,4,3548,124.26,15,1,60,1.12,11,Avg
1,9,587,46,2,1317,222.68,48,2,31,3.11,14,Poor
3,10,548,43,2,1970,179.69,32,2,31,3.43,15,Poor
2,7,532,48,3,1040,212.95,46,2,27,2.61,11,Poor
5,15,748,29,5,3568,125.85,24,1,49,0.67,6,Avg
5,15,635,30,6,2667,120.41,24,1,50,0.51,10,Avg
6,14,775,23,6,2014,125.18,19,1,46,0.98,6,Avg
6,14,710,34,4,2105,144.74,21,1,57,1.08,9,Avg
10,20,931,8,9,5065,39.54,8,0,62,0.14,0,Good
6,14,678,37,4,2807,122.7,26,1,42,0.67,9,Avg
4,13,656,29,6,2995,148.79,16,1,52,0.74,11,Avg
6,14,764,33,4,2344,120.32,15,1,58,0.97,8,Avg
7,17,998,17,8,7401,45.92,7,0,92,0.38,7,Good
9,16,979,0,8,7915,24.15,3,0,74,0.17,0,Good
5,15,605,27,6,4475,128.61,20,1,52,1.25,10,Avg
8,17,905,2,10,6297,7.98,7,0,72,0.15,6,Good
10,20,909,12,7,7519,41.21,3,0,89,0.15,7,Good
3,9,415,48,2,1088,157.92,34,2,22,3.4,15,Poor
9,16,890,0,10,6806,15.82,0,0,84,0.36,2,Good
4,12,640,35,6,2468,118.84,20,1,56,1.25,6,Avg
6,14,668,38,6,2916,115.54,25,1,54,0.83,9,Avg
8,18,856,19,8,5959,86.44,7,0,95,0.17,0,Good
2,10,419,49,3,1014,239.05,40,2,34,3.28,11,Poor
3,9,574,47,1,1100,206.12,44,2,21,3.56,13,Poor
9,20,1014,15,8,7656,35.53,10,0,70,0.2,0,Good
7,16,957,17,9,6521,75.76,2,0,88,0.17,7,Good
6,11,788,25,5,3372,141.32,15,1,55,1.33,7,Avg
5,11,723,32,6,4197,148.21,21,1,60,0.67,8,Avg
2,7,453,43,2,1649,193.54,31,2,38,2.72,13,Poor
7,19,944,2,9,7130,89.87,0,0,84,0.38,3,Good
7,16,995,1,8,6999,37.61,8,0,61,0.2,4,Good
2,9,461,40,2,1195,205.45,34,2,24,2.96,12,Poor
4,13,716,30,6,2265,146.13,29,1,44,0.7,8,Avg
9,19,1060,9,8,8790,11.3,14,0,85,0.43,2,Good
3,9,522,47,2,1826,199.52,35,2,24,3.2,13,Poor
3,9,469,49,2,1336,208.66,46,2,35,3.44,13,Poor
2,10,538,44,3,1941,207.69,40,2,30,3.57,12,Poor
3,9,400,47,3,1370,229.64,35,2,33,2.82,14,Poor
6,11,797,22,6,3549,118.6,29,1,45,0.7,9,Avg
6,15,672,22,4,3218,148.71,29,1,58,0.63,10,Avg
1,9,537,50,3,1843,222.97,42,2,22,3.95,13,Poor
1,10,429,49,2,1411,216.5,49,2,29,3.69,12,Poor
10,20,1014,9,7,6717,44.38,11,0,98,0.48,0,Good
9,17,1061,12,10,8881,54.18,9,0,77,0.34,2,Good
2,8,468,46,3,1011,244.96,33,2,25,3.66,15,Poor
2,8,503,45,2,1899,200.05,34,2,25,3.52,13,Poor
10,17,1001,2,10,5203,52.43,11,0,100,0.11,6,Good
1,8,427,44,3,1974,156.48,40,2,26,2.76,13,Poor
8,16,812,3,8,5327,81.32,2,0,63,0.16,4,Good
5,13,665,23,6,4673,118.02,17,1,41,1.36,11,Avg
10,17,1002,17,10,8128,91.79,13,0,75,0.34,6,Good
5,13,741,21,4,2360,121.49,28,1,59,0.73,9,Avg
4,15,619,27,5,2542,121.88,27,1,45,1.23,9,Avg
8,17,823,17,9,8377,30.74,13,0,91,0.42,4,Good
5,13,706,28,6,2384,145.45,18,1,43,0.68,8,Avg
2,8,409,44,1,1824,227.8,44,2,33,2.81,15,Poor
1,7,427,50,1,1989,156.23,34,2,38,2.58,15,Poor
4,11,685,31,6,4792,135.68,16,1,52,1.45,8,Avg
7,20,897,7,9,7449,87.06,12,0,82,0.47,1,Good
9,16,971,19,7,6607,89.3,11,0,62,0.12,7,Good
1,7,443,44,3,1706,208.14,40,2,35,3.76,13,Poor
1,9,406,43,3,1156,169.78,32,2,38,3.67,13,Poor
7,20,870,14,7,6585,76.36,11,0,98,0.47,0,Good
9,17,1068,12,10,7063,69.32,10,0,63,0.18,6,Good
2,8,457,41,1,1666,168.85,41,2,25,2.83,15,Poor
7,17,967,19,9,7527,15.15,4,0,95,0.1,5,Good
3,7,421,42,2,1326,235.89,47,2,21,3.32,15,Poor
9,19,855,18,7,6305,89.37,5,0,94,0.29,0,Good
4,15,784,26,4,3194,89.73,25,1,45,0.74,11,Avg
10,18,1056,1,10,5213,71.84,12,0,90,0.36,7,Good
4,13,730,33,6,4222,86.09,25,1,60,1.42,8,Avg
4,11,727,35,6,4948,89.2,16,1,58,1.37,10,Avg
2,9,502,40,3,1859,187.71,47,2,25,2.96,12,Poor
9,19,971,2,8,5775,78.19,11,0,93,0.48,0,Good
2,10,407,42,3,1947,153.27,47,2,29,3.53,15,Poor
9,17,1002,17,8,7010,65.94,2,0,64,0.13,0,Good
7,20,1012,18,8,6946,86.5,11,0,63,0.21,0,Good
6,12,683,34,6,2014,80.5,19,1,45,1.24,8,Avg
4,15,756,33,4,2176,124.29,27,1,60,0.96,10,Avg
6,12,622,26,4,2259,133.08,24,1,47,0.78,9,Avg
6,12,787,30,5,3335,138.77,24,1,51,0.76,8,Avg
9,16,1034,19,9,7447,63.33,5,0,95,0.18,0,Good
6,11,678,23,6,4242,115.21,29,1,52,0.5,11,Avg
6,15,732,35,6,3294,88.0,28,1,41,0.78,10,Avg
5,13,710,23,6,3342,124.96,19,1,46,0.95,8,Avg
5,13,609,37,4,4273,121.0,20,1,41,0.54,10,Avg
3,8,403,41,2,1312,244.07,46,2,33,3.04,15,Poor
5,15,607,33,4,2175,88.37,28,1,56,0.91,7,Avg
5,12,737,30,6,4916,105.66,26,1,48,1.48,9,Avg
2,9,567,43,2,1509,192.05,45,2,22,3.86,13,Poor
8,19,919,7,9,8731,87.5,3,0,95,0.34,2,Good
8,18,988,7,9,7082,7.96,2,0,68,0.31,5,Good
3,8,470,46,1,1110,171.66,34,2,30,2.92,15,Poor
3,9,417,40,2,1726,193.63,47,2,23,2.95,14,Poor
3,7,458,46,3,1201,156.14,47,2,39,3.83,15,Poor
6,12,615,35,4,3967,95.0,29,1,52,0.85,11,Avg
2,8,430,49,2,1909,167.02,40,2,29,2.75,15,Poor
7,16,909,14,8,7543,40.95,12,0,86,0.18,7,Good
2,8,412,47,1,1117,177.34,30,2,40,3.49,15,Poor
3,9,564,41,1,1414,161.53,48,2,33,2.89,13,Poor
6,14,739,37,4,3506,99.02,29,1,48,0.75,6,Avg
8,17,913,11,10,8518,20.82,9,0,90,0.13,1,Good
1,8,464,50,1,1647,202.45,43,2,40,3.27,15,Poor
5,13,702,30,5,3490,95.93,19,1,59,1.21,6,Avg
8,18,848,10,7,6078,22.66,2,0,93,0.44,3,Good
4,11,776,37,5,2426,117.55,29,1,42,1.23,10,Avg
2,8,447,42,2,1815,211.98,45,2,26,2.98,14,Poor
3,9,498,47,2,1180,201.94,50,2,24,3.44,11,Poor
6,11,685,21,6,4251,75.24,17,1,42,0.93,7,Avg
5,11,788,26,5,4096,116.06,24,1,48,0.52,9,Avg
10,18,982,12,9,8698,84.62,6,0,81,0.23,0,Good
3,8,552,46,2,1319,227.51,41,2,28,2.97,15,Poor
1,10,538,44,2,1971,199.69,40,2,29,3.0,14,Poor
5,11,679,29,4,4703,89.28,24,1,44,1.13,7,Avg
10,20,967,14,9,8112,21.01,2,0,86,0.34,2,Good
8,16,976,5,9,7535,14.31,8,0,75,0.27,3,Good
2,8,503,43,1,1303,225.13,36,2,29,3.67,10,Poor
10,16,896,15,10,5442,48.99,7,0,76,0.21,2,Good
3,9,423,46,3,1313,217.22,33,2,38,3.93,13,Poor
